Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks,Monthly Revenue,Annual Burn Rate,Customer Acquisition Cost (CAC),Customer Lifetime Value (CLV),Active Users,Revenue Growth Rate (%),Funding Utilization (%),Profit Margin (%),Valuation at Funding,Operating Expenses
95,28/05/2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,"5,10,00,000",,4492476,426264,421,1659,680310,-8.6,57.2,-9.2,130721574,642958
96,28/05/2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,"14,00,00,000",,1455873,17989014,409,4327,1071166,28.6,44.8,-27.3,67631761,215652
97,30/05/2019,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,"1,15,00,000",,1212997,13465260,48,705,1816640,-33.0%,,-3.8,121422826,1907517
98,31/05/2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,"56,00,000",,3418827,14901146,214,1116,1716560,35.9,98.8%,37.9,278242765,1656598
99,16/04/2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,"4,50,00,000",,3191073,18553984,376,283,159495,0.8,,-6.8,295614141,1268285
100,12/04/2019,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,"1,70,00,000",,715967,6711665,434,4324,178238,45.4%,41.8,5.4,"474,996,941",308662
101,10/04/2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,"4,30,665",,,"14,478,466",184,2101,714876,36.5%,42.0%,,295533953,519733
102,13/04/2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,"35,91,375",,1015542,10095330,371,,1617537,5.5,86.3,-7.2,390197817,645920
103,12/04/2019,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,"2,00,000",,4028397,10898934,285,261,1519147,7.5%,97.3,86.4,424452646,1784840
104,11/04/2019,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,"35,00,000",,56664,13269010,114,4594,1236875,43.9,98.5,32.3,221718517,729636
105,10/04/2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,"63,20,820",,"3,988,276",,447,4408,1726196,37.5%,107.1%,11.9%,"99,561,025",1277847
106,10/04/2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,"24,43,495",,3938883,578604,225,1420,364597,31.5,95.4%,3.8%,103724350,1875006
107,10/04/2019,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,"3,07,000",,3906214,1593707,304,3267,1472284,34.9,68.6,43.6,137628551,1372191
108,11/04/2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,"2,60,00,000",,3330957,10080664,147,1299,1938675,-9.8,46.7,-7.3,184947978,1127339
109,19/04/2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,"30,00,000",,2368404,11441249,17,4226,1930426,16.1,57.4,-0.8,183859447,261583
110,19/04/2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,"14,342,000+",,3531723,14674669,229,3591,1422511,-3.4,48.4,50.2,485004420,540089
111,17/04/2019,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,"50,00,000",,1400065,11486526,362,2249,,-10.3,29.9,0.6,64511783,51479
112,17/04/2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,"30,00,000",,"3,908,030",3845684,166,"4,646",447473,15.3,34.4,-1.7,320728920,334761
113,01/02/2019,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,Undisclosed,,2787121,7399731,464,"1,158",,3.7,21.3,-6.6,476380702,1179097
114,08/02/2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,"22,60,00,000",,2305400,8931432,376,4984,494685,8.7,39.7%,-38.3%,319111128,1351286
115,13/02/2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,"6,00,000",,2537919,19680483,322,1486,844193,2.0,103.5,35.4,482065130,344748
116,14/02/2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,"10,00,00,000",,2852331,10697349,404,4449,234013,-13.1,73.7%,8.9,254295487,668287
117,03/01/2019,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,"11,00,00,000",,205566,12736065,431,4280,604176,45.9,58.9,36.7%,145561085,1379867
118,04/01/2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,"2,20,00,000",,716189,,362,2835,151826,15.1,43.7,,89195510,145736
119,04/01/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,"50,00,000",,1242496,7308557,413,653,923804,-16.8,79.0%,-0.6,101978505,1211730
120,04/12/2018,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,"7,00,000",,590359,19292628,358,3768,144728,15.6,117.3,-6.6,"413,126,604",940659
121,01/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,"5,00,00,000",,2209275,13530713,431,3506,1535857,42.4,54.8%,27.1,301694792,"659,073"
122,02/12/2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,"8,00,000",,3348646,16980683,56,4332,1311504,31.2%,104.8,-10.1,428631504,938599
123,02/12/2018,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,"5,72,000",,3279055,"15,009,499",175,1167,1300561,1.6,113.9,19.6,69084416,877639
124,04/12/2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,"1,43,000",,2366059,12468216,444,1234,1406449,2.1%,98.7,11.0,107714686,1753802
125,06/12/2018,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,"20,00,000",,4278298,714441,239,1798,1543820,,79.1%,-16.1,,"1,660,359"
126,06/12/2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,"35,00,000",,2834875,11714449,12,1875,1351369,,50.2,-1.2,358163022,1875678
127,01/11/2018,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,"1,38,995",,414403,2677260,424,65,1255210,-1.2,23.3,10.3,332266621,1363041
128,03/11/2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,"2,77,99,000",,3829694,"12,103,415",329,809,365293,-17.4%,93.7,2.2,382593282,963863
129,06/11/2018,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,"5,00,00,000",,2881511,14057842,455,2421,1466229,3.1,115.6%,57.4,398102937,626913
130,08/11/2018,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,"5,00,000",,3180897,10949054,13,4836,974054,18.9,,15.9,148356168,1176123
